Time,Estimated Vel,Estimated Pos
0.0,-0.01874858722143396,-6.691144618641641e-05
1.0,9.948869714068199,4.792423575390834
2.0,18.459538010268993,17.786989126390598
3.0,29.13732501675547,42.13716911111415
4.0,37.256302388294486,71.67385424474983
5.0,49.66169658293378,118.93860158085005
6.0,58.59081567514117,167.43297579606974
7.0,74.08519269957429,245.82278232053966
8.0,84.24080315830983,317.0427180956446
9.0,99.55191219202658,419.2828297666043
10.0,109.82223926475615,509.65957443218235
0.0,2.411202865019277,26.65405184133823
1.0,36.74929750634236,18.87841034916568
2.0,33.92754078868948,32.77235785389107
3.0,45.40347997654872,65.68930161294276
4.0,40.26551040365716,77.47832421782071
5.0,44.389138480244156,106.24015298845734
6.0,60.212141079253584,172.25551106594958
7.0,51.62219871216408,170.24326721314455
8.0,93.3538058942531,353.96938476855235
9.0,103.26653079910756,434.14518288534026
10.0,102.71162197232974,474.94986616926485
0.0,6.700105910908746,24.84050278518032
1.0,6.269511351378593,4.080885013749537
2.0,20.246224754648715,19.5391127851384
3.0,30.311219106014498,43.8410309842449
4.0,46.22516539651077,88.92217016843205
5.0,49.324422620841176,118.0366975390289
6.0,54.81167578738166,156.55084673635818
7.0,73.4965987482241,244.0483331620945
8.0,78.4590707243515,294.8948996117871
9.0,82.95326847853528,348.3489398159546
10.0,101.92580322220874,474.64196525833296
